feature,importance,rank
cat__model_lx470,0,802
cat__model_2 Series,0,803
cat__model_m35,0,804
cat__model_m35x,0,805
cat__model_m37,0,806
cat__model_m37x,0,807
cat__model_m45,0,808
cat__model_m813a1,0,809
cat__model_macan,0,810
cat__model_magna,0,811
cat__model_magnum,0,812
cat__model_maibu,0,813
cat__model_malibi,0,814
cat__model_mariner,0,815
cat__model_mark,0,816
cat__model_marquis,0,817
cat__model_martin,0,818
cat__model_200s,0,819
cat__model_2013,0,820
cat__model_mazda2,0,821
cat__model_2016,0,822
cat__model_210,0,823
cat__model_228i,0,824
cat__model_mazdaspeed,0,825
cat__model_mazdaspeed3,0,826
cat__model_md,0,827
cat__model_22re,0,828
cat__model_mercedes,0,829
cat__model_metris,0,830
cat__model_230ge,0,831
cat__model_milan,0,832
cat__model_mirada,0,833
cat__model_230i,0,834
cat__model_mk,0,835
cat__model_mk4,0,836
cat__model_240,0,837
cat__model_mks,0,838
cat__model_mkt,0,839
cat__model_mkx,0,840
cat__model_240d,0,841
cat__model_ml,0,842
cat__model_ml320,0,843
cat__model_ml350,0,844
cat__model_240m,0,845
cat__model_modle,0,846
cat__model_montana,0,847
cat__model_monte,0,848
cat__model_montego,0,849
cat__model_monterey,0,850
cat__model_monteri,0,851
cat__model_montero,0,852
cat__model_morano,0,853
cat__model_motorhome,0,854
cat__model_mountaineer,0,855
cat__model_mpv,0,856
cat__model_mr2,0,857
cat__model_245,0,858
cat__model_250,0,859
cat__model_mustang gt350,0,860
cat__model_mustang shelby,0,861
cat__model_mx5,0,862
cat__model_nautilus,0,863
cat__model_five,0,864
cat__model_neon,0,865
cat__model_2500hd,0,866
cat__model_niro,0,867
cat__model_280zx,0,868
cat__model_nsx,0,869
cat__model_nv,0,870
cat__model_nv1500,0,871
cat__model_nv200,0,872
cat__model_nv2500,0,873
cat__model_nv3500,0,874
cat__model_nv3500hd,0,875
cat__model_29,0,876
cat__model_odessey,0,877
cat__model_3,0,878
cat__model_one,0,879
cat__model_3000,0,880
cat__model_outback,0,881
cat__model_3000gt,0,882
cat__model_outlook,0,883
cat__model_paceman,0,884
cat__model_300c,0,885
cat__model_pajero,0,886
cat__model_palisade,0,887
cat__model_panamera,0,888
cat__model_partiot,0,889
cat__model_300d,0,890
cat__model_passport,0,891
cat__model_300m,0,892
cat__model_300s,0,893
cat__model_patroit,0,894
cat__model_phaeton,0,895
cat__model_pick,0,896
cat__model_300sd,0,897
cat__model_300se,0,898
cat__model_pininfarina,0,899
cat__model_police,0,900
cat__model_prelude,0,901
cat__model_300tdt,0,902
cat__model_pro,0,903
cat__model_probe,0,904
cat__model_300zx,0,905
cat__model_protege,0,906
cat__model_protege5,0,907
cat__model_prowler,0,908
cat__model_318i,0,909
cat__model_pulsar,0,910
cat__model_q3,0,911
cat__model_q40,0,912
cat__model_q45,0,913
cat__model_q45t,0,914
cat__model_firehawk,0,915
cat__model_320i,0,916
cat__model_q50s,0,917
cat__model_q60,0,918
cat__model_q60s,0,919
cat__model_323i,0,920
cat__model_q70,0,921
cat__model_q70l,0,922
cat__model_q8,0,923
cat__model_quad,0,924
cat__model_quattro,0,925
cat__model_325ci,0,926
cat__model_qx,0,927
cat__model_qx30,0,928
cat__model_qx4,0,929
cat__model_qx50,0,930
